Timestamp,Please tick this box to begin the survey,In which school or unit are you most strongly affiliated?,Do you consider yourself a research software engineer (RSE)?,What is your job title?,"Does your lab use or develop any open source software, or services?","List the top open source libraries that you use (GitHub or other version control address, one per line). ","List any software that is created or managed by your group or lab (GitHub or similar web addresses, one per line)",Do you use research software?,How important is research software to your work?,Have you developed your own research software?,How do you rate your software development expertise?,Do you feel that you have received sufficient training for software engineering best practices?,Would you be interested in getting help from Research Software Engineering Services to work on some of your research software?,How confident are you with the following technologies? [Version control],How confident are you with the following technologies? [Continuous integration],How confident are you with the following technologies? [Unit testing],How would you rate the university's current level of support for your software-development needs?,Have you or someone in your group ever hired someone specifically to develop software?,Have you ever included costs for software development in a funding proposal?,How suitable would the following models be for your software development needs? [Hire a full-time software developer],How suitable would the following models be for your software development needs? [Recruit a developer from RSE Services]
2020/11/11 12:53:49 PM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",The School of Medicine,Yes,,Yes,"https://github.com/dask/dask
https://github.com/scipy/scipy
https://github.com/datajoint
https://github.com/napari/napari
https://github.com/jupyterhub/jupyterhub
https://github.com/MouseLand/cellpose
https://github.com/google/neuroglancer
https://github.com/numpy/numpy
https://github.com/scikit-image/scikit-image
https://github.com/cupy/cupy
https://github.com/mritools/cupyimg
https://github.com/pydata/xarray
https://github.com/zarr-developers/zarr-python",,Yes,5,Yes,5,Yes,Yes,Very confident,Not confident,Very confident,3,Yes,Yes,Suitable,Unsuitable
2020/11/11 3:49:18 PM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",The School of Humanities & Sciences,No,Graduate Student,Yes,,,Yes,4,Yes,3,No,Yes,Very confident,Not heard of it,Not heard of it,4,No,No (I'm not involved in writing funding proposals);No (but we DID expect to write software as part of the project),Unsuitable,Unsuitable
2020/11/12 5:33:48 PM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",Stanford University Libraries,Yes,Digital Scholarship Research Developer,Yes,,,Yes,3,Yes,4,Yes,Yes,Confident,Confident,Confident,5,No,No (I'm not involved in writing funding proposals),Perfect,Unsuitable
2020/11/13 9:40:42 AM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",The School of Medicine,No,PhD Candidate,Yes,"bwa
samtools
megahit",,Yes,5,Yes,4,No,Yes,Not confident,Not heard of it,Confident,3,No,Yes,Suitable,Perfect
2020/11/13 9:42:10 AM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",The School of Medicine,Yes,Postdoc,Yes,"Numpy, Scipy, ",,Yes,5,Yes,3,No,No,Confident,Not heard of it,Not confident,3,Yes,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/13 10:18:58 AM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",The School of Humanities & Sciences,No,GIS Analyst,Yes,GitHub,InVEST,Yes,5,No,,,,,,,,No,No (I'm not involved in writing funding proposals),Suitable,Suitable
2020/11/13 11:03:35 AM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",Stanford UIT,No,Cloud Operations Analyst,No,,,No,1,No,,,,,,,,No,Yes,Unsuitable,Unsuitable
2020/11/13 11:44:25 AM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",The School of Medicine,Yes,Sr. Clinical Data Scientist,Yes,"pandas, scikit-learn, pytorch, spacy, numpy, scipy","to be released, TiDE: an open source pipeline to de-identify clinical notes",Yes,5,Yes,4,No,Yes,Very confident,Confident,Not confident,4,Yes,Yes,Perfect,Suitable
2020/11/13 4:48:31 PM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",The School of Medicine,No,Research Scientist ,Yes,https://github.com/alexdobin/STAR,,Yes,5,Yes,3,No,Yes,Confident,Not confident,Not confident,2,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
2020/11/15 4:12:51 AM MST,"I confirm that I am a staff, student, or faculty at Stanford University or an affiliate at a lab, I conduct research at Stanford University, and I agree to take part in this survey",The School of Engineering,No,graduate student researcher/research assistant (non-PhD track),No,,,Yes,5,Yes,3,No,No,Confident,Not heard of it,Not heard of it,3,No,No (I'm not involved in writing funding proposals),Unsuitable,Unsuitable
